gemeinde,specialization,N_total_yearly_patients,N_unique_yearly_patients,total_weekly_hours,N_total_quarterly_patients,N_unique_quarterly_patients,capacity_total_flat,capacity_unique_flat,capacity_total_hour-based,capacity_unique_hour-based,capacity_total_max,capacity_unique_max,adj_index
30602,GGH,75,72,20.0,19,18,21,20,4834,2010,3886,1675,75
40301,AU,4538,3645,19.75,1134,911,1247,1002,1134,911,4477,2642,76
32336,AM,1522,1026,9.0,380,256,418,282,2753,2038,5206,2123,77
20101,KI,2126,1383,20.0,532,346,585,381,24570,17405,15314,9696,78
20101,AM,12307,7729,20.0,3077,1932,3385,2125,7192,2999,5206,1932,79
41425,AM,37872,15340,22.0,9468,3835,10415,4218,9468,3835,9468,3835,80
92101,IM,142,137,50.0,36,34,40,37,36,34,3664,1853,81
62040,URO,8537,6883,20.0,2134,1721,2347,1893,2134,1721,2134,1721,82
70101,AM,8641,5976,20.0,2160,1494,2376,1643,7192,2999,5206,2123,83
70203,AM,14068,10453,20.0,3517,2613,3869,2874,7192,2613,5206,2613,84
31717,AM,15616,5922,16.0,3904,1480,4294,1628,7187,2272,3904,2123,85
90901,AM,11671,4232,24.5,2918,1058,3210,1164,7192,2999,5206,2123,86
91401,AM,10,10,1.5,2,2,2,2,2,2,5206,2123,87
10304,DER,7162,5563,16.5,1790,1391,1969,1530,6862,2284,5717,2000,88
31726,CH,6399,3598,17.0,1600,900,1760,990,2648,1632,4432,1758,89
80103,AM,11022,9432,20.0,2756,2358,3032,2594,7192,2999,5206,2358,90
91901,AU,6660,1677,20.0,1665,419,1832,461,4864,2925,4477,2642,91
40703,HNO,7854,5560,19.33333333333333,1964,1390,2160,1529,1964,1390,4052,2834,92
60344,IM,1904,1884,48.66666666666666,476,471,524,518,476,471,3664,1853,93
31717,AM,7356,6321,20.0,1839,1580,2023,1738,7192,2999,5206,2123,94
92101,AM,5467,3593,13.0,1367,898,1504,988,4780,1758,5206,2123,95
70214,IM,5769,3686,19.428571428571427,1442,922,1586,1014,3664,1464,3664,1853,96
31022,AM,12259,6611,22.0,3065,1653,3372,1818,7192,2999,5206,2123,97
30821,AM,6,6,1.5,2,2,2,2,2,2,5206,2123,98
91901,AM,34,34,44.85714285714285,8,8,9,9,8,8,5206,2123,99
20201,AM,4883,3815,20.0,1221,954,1343,1049,7192,2999,5206,2123,100
80302,AM,2507,1518,20.0,627,380,690,418,7192,2999,5206,2123,101
20201,AM,18226,7216,20.5,4556,1804,5012,1984,7192,2999,4556,1804,102
30531,KI,9278,5215,20.0,2320,1304,2552,1434,24570,17405,15314,9696,103
30616,AM,17338,5624,15.0,4334,1406,4767,1547,7187,2272,4334,2123,104
20635,AM,8,8,1.5,2,2,2,2,2,2,5206,2123,105
30710,AM,10196,5765,20.0,2549,1441,2804,1585,7192,2999,5206,2123,106
50101,RAD,11637,8522,21.0,2909,2130,3200,2343,6351,2690,2909,2130,107
62007,AM,23,23,24.0,6,6,7,7,7192,2999,5206,2123,108
10307,RAD,620,620,20.0,155,155,170,170,6351,2690,4630,2410,109
20101,PSY,14000,5798,20.0,3500,1450,3850,1595,3500,1450,3500,1450,110
10606,AM,7019,5370,20.0,1755,1342,1931,1476,7192,2999,5206,2123,111
70101,AM,25311,8836,20.0,6328,2209,6961,2430,6328,2999,6328,2209,112
41607,AM,27914,8429,15.5,6978,2107,7676,2318,6978,2107,6978,2107,113
91601,ORTR,5214,3308,15.0,1304,827,1434,910,5043,1742,5043,1879,114
91201,IM,4798,3600,20.0,1200,900,1320,990,7076,5050,3664,1853,115
80301,HNO,4201,2499,23.0,1050,625,1155,688,5086,3280,4052,2834,116
92201,NEU,11039,4524,23.0,2760,1131,3036,1244,2760,1131,2760,1131,117
41811,AM,15650,5576,23.0,3912,1394,4303,1533,7192,2999,3912,2123,118
30543,AM,148,142,23.5,37,36,41,40,7192,2999,5206,2123,119
91001,KI,254,183,32.5,64,46,70,51,64,46,15314,9696,120
90401,IM,14655,5857,16.0,3664,1464,4030,1610,3664,1464,3664,1464,121
20620,AM,4941,2705,16.0,1235,676,1358,744,7187,2272,5206,2123,122
31633,AM,4924,3522,12.0,1231,880,1354,968,4780,1758,5206,2123,123
60617,AM,137,137,26.75,34,34,37,37,6284,2516,5206,2123,124
80110,PSY,445,445,23.0,111,111,122,122,3500,1450,3500,1450,125
91901,AM,12503,4018,12.0,3126,1004,3439,1104,4780,1758,5206,2123,126
91001,AM,5048,3059,10.0,1262,765,1388,842,4780,1758,5206,2123,127
10101,AM,20824,7048,18.0,5206,1762,5727,1938,7187,2272,5206,1762,128
31704,HNO,391,389,20.0,98,97,108,107,5086,3280,4052,2834,129
80302,ORTR,10299,4507,20.0,2575,1127,2833,1240,5467,1935,5043,1879,130
62040,AM,319,319,20.0,80,80,88,88,7192,2999,5206,2123,131
70531,AM,11012,8154,5.0,2753,2038,3028,2242,2753,2038,5206,2038,132
30942,AM,5048,3430,16.666666666666668,1262,858,1388,944,7187,2272,5206,2123,133
80225,URO,758,758,34.0,190,190,209,209,190,190,2134,1721,134
40601,RAD,25404,10761,20.0,6351,2690,6986,2959,6351,2690,6351,2690,135
31717,AM,28767,8493,20.0,7192,2123,7911,2335,7192,2999,7192,2123,136
70101,AM,237,237,10.0,59,59,65,65,4780,1758,5206,2123,137
41521,PSY,96,96,20.0,24,24,26,26,3500,1450,3500,1450,138
30401,AM,19120,5691,10.0,4780,1423,5258,1565,4780,1758,4780,2123,139
61247,DER,3920,2970,20.666666666666668,980,742,1078,816,4572,1716,5717,2000,140
62267,AM,1855,1159,20.0,464,290,510,319,7192,2999,5206,2123,141
70926,CH,816,811,9.0,204,203,224,223,204,203,4432,1758,142
62040,AM,349,222,31.0,87,56,96,62,8749,2697,5206,2123,143
60344,ORTR,9305,7516,21.75,2326,1879,2559,2067,5467,1935,5043,1879,144
60101,AM,5888,3690,21.0,1472,922,1619,1014,7192,2999,5206,2123,145
31022,AM,21446,6462,20.0,5362,1616,5898,1778,5362,2999,5362,2123,146
50205,CH,10593,6529,15.0,2648,1632,2913,1795,2648,1632,4432,1632,147
91001,DER,16490,6410,20.0,4122,1602,4534,1762,4572,1716,5717,2000,148
61207,RAD,1355,1355,46.0,339,339,373,373,339,339,4630,2410,149
10504,AM,16254,7024,20.666666666666668,4064,1756,4470,1932,7192,2999,4064,1756,150
31654,AM,21169,7971,21.77083333333333,5292,1993,5821,2192,7192,2999,5292,1993,151
